"","gene","symbol","name","regulator_readable","function.","category"
"253","Rv2122c","hisE","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"254","Rv0291","mycP3","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"255","Rv0284","eccC3","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"256","Rv2381c","mbtD","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"257","Rv2379c","mbtF","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"258","Rv0285","PE5","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"259","Rv0290","eccD3","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"260","Rv0288","esxH","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"261","Rv2622","Rv2622","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"262","Rv1346","mbtN","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"263","Rv2385","mbtJ","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"264","Rv2384","mbtA","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"265","Rv1342c","Rv1342c","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"266","Rv2378c","mbtG","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"267","Rv0481c","Rv0481c","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"268","Rv2377c","Rv2377c","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"269","Rv1348","irtA","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"270","Rv1847","Rv1847","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"271","Rv1345","mbtM","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"272","Rv1520","Rv1520","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"273","Rv1519","Rv1519","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"274","Rv1344","mbtL","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"275","Rv1343c","lprD","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"276","Rv0289","espG3","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"277","Rv3402c","Rv3402c","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"278","Rv2123","PPE37","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"279","Rv3403c","Rv3403c","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"288","Rv0846c","Rv0846c","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"289","Rv0848","cysK2","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"290","Rv0849","Rv0849","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"291","Rv1812c","Rv1812c","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"292","Rv0847","lpqS","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"293","Rv2964","purU","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"294","Rv1813c","Rv1813c","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"295","Rv2963","Rv2963","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"296","Rv0186A","mymT","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"297","Rv0967","csoR","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"298","Rv0190","Rv0190","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"299","Rv2654c",NA,"RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"300","Rv0968","Rv0968","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"301","Rv0969","ctpV","RicR","ricR","Copper responsive transcription factor that regulates metal metabolism genes","Metal Related"
"315","Rv2505c","fadD35","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"316","Rv2504c","scoA","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"317","Rv2503c","scoB","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"318","Rv2501c","accA1","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"319","Rv2499c","Rv2499c","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"320","Rv2498c","citE","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"321","Rv2500c","fadE19","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"322","Rv2502c","accD1","BkaR","bkaR","Transcription factor that regulates genes related to branched-chain keto-acid metabolism","Central Carbon"
"323","Rv1968","mce3C","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"324","Rv1970","lprM","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"325","Rv1971","mce3F","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"326","Rv1973","Rv1973","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"327","Rv1972","Rv1972","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"328","Rv1974","Rv1974","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"329","Rv1967","mce3B","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"330","Rv1937","Rv1937","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"331","Rv1964","yrbE3A","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"332","Rv1965","yrbE3B","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"333","Rv1969","mce3D","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"334","Rv1939","Rv1939","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"335","Rv1966","mce3A","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"336","Rv1936","Rv1936","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"337","Rv1935c","echA13","Mce3R","mce3R","Transcription factor that regulates the mce3 virulence operon","Virulence/Persistence"
"338","Rv3085","Rv3085","VirS","virS","Transcription factor that is activated and responds to acidic environments","Redox"
"339","Rv3087","Rv3087","VirS","virS","Transcription factor that is activated and responds to acidic environments","Redox"
"340","Rv3083","Rv3083","VirS","virS","Transcription factor that is activated and responds to acidic environments","Redox"
"341","Rv3088","tgs4","VirS","virS","Transcription factor that is activated and responds to acidic environments","Redox"
"342","Rv3084","lipR","VirS","virS","Transcription factor that is activated and responds to acidic environments","Redox"
"343","Rv3086","adhD","VirS","virS","Transcription factor that is activated and responds to acidic environments","Redox"
"344","Rv3089","fadD13","VirS","virS","Transcription factor that is activated and responds to acidic environments","Redox"
"348","Rv3879c","espK","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"349","Rv2422","Rv2422","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"350","Rv3291c","lrpA","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"351","Rv3290c","lat","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"352","Rv3874","esxB","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"353","Rv3877","eccD1","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"354","Rv3862c","whiB6","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"355","Rv3876","espI","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"356","Rv3873","PPE68","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"357","Rv3875","esxA","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"358","Rv3288c","usfY","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"359","Rv3289c","Rv3289c","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"360","Rv1986","Rv1986","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"361","Rv3872","PE35","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"362","Rv3878","espJ","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"363","Rv1296","thrB","WhiB6","whiB6","Transcription factor that regulates ESX-1 system membrane transport proteins","Redox"
"364","Rv0974c","accD2","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"365","Rv0975c","fadE13","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"366","Rv0859","Rv0859","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"367","Rv0860","fadB","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"368","Rv1856c","Rv1856c","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"369","Rv0971c","echA7","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"370","Rv1857","modA","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"371","Rv0973c","accA2","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"372","Rv0244c","fadE5","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"373","Rv2724c","fadE20","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"374","Rv0972c","fadE12","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"375","Rv0976c","Rv0976c","FasR","fasR","Transcription factor that controls the expression of fatty acid metabolism genes","Fatty Acid/Cholesterol"
"376","Rv1196","PPE18","MprA","mprA","Transcription factor that regulates multiple stress responsive genes","Virulence/Persistence"
"377","Rv1197","esxK","MprA","mprA","Transcription factor that regulates multiple stress responsive genes","Virulence/Persistence"
"378","Rv3620c","esxW","MprA","mprA","Transcription factor that regulates multiple stress responsive genes","Virulence/Persistence"
"379","Rv1198","esxL","MprA","mprA","Transcription factor that regulates multiple stress responsive genes","Virulence/Persistence"
"380","Rv1195","PE13","MprA","mprA","Transcription factor that regulates multiple stress responsive genes","Virulence/Persistence"
"381","Rv1038c","esxJ","MprA","mprA","Transcription factor that regulates multiple stress responsive genes","Virulence/Persistence"
"382","Rv2347c","esxP","MprA","mprA","Transcription factor that regulates multiple stress responsive genes","Virulence/Persistence"
"392","Rv1130","prpD","PrpR","prpR","Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle","Central Carbon"
"393","Rv1128c","Rv1128c","PrpR","prpR","Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle","Central Carbon"
"394","Rv1132","Rv1132","PrpR","prpR","Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle","Central Carbon"
"395","Rv1129c","Rv1129c","PrpR","prpR","Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle","Central Carbon"
"396","Rv1131","prpC","PrpR","prpR","Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle","Central Carbon"
"399","Rv0077c","Rv0077c","Rv0078+Rv2034","Rv0078 and Rv2034","iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon","Antibiotic"
"400","Rv0076c","Rv0076c","Rv0078+Rv2034","Rv0078 and Rv2034","iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon","Antibiotic"
"401","Rv0078","Rv0078","Rv0078+Rv2034","Rv0078 and Rv2034","iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon","Antibiotic"
"415","Rv0715","rplX","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"416","Rv0714","rplN","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"417","Rv0706","rplV","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"418","Rv0722","rpmD","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"419","Rv0702","rplD","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"420","Rv0708","rplP","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"421","Rv3458c","rpsD","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"422","Rv3457c","rpoA","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"423","Rv0723","rplO","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"424","Rv3459c","rpsK","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"425","Rv0710","rpsQ","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"426","Rv0704","rplB","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"427","Rv3460c","rpsM","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"428","Rv0707","rpsC","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"429","Rv0705","rpsS","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"430","Rv0700","rpsJ","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"431","Rv0721","rpsE","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"432","Rv0709","rpmC","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"433","Rv0720","rplR","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"434","Rv3920c","Rv3920c","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"435","Rv3456c","rplQ","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"436","Rv0703","rplW","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"437","Rv0719","rplF","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"438","Rv0701","rplC","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"439","Rv0651","rplJ","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"440","Rv0716","rplE","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"441","Rv0718","rpsH","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"442","Rv0652","rplL","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"443","Rv0717","rpsN1","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"444","Rv0667","rpoB","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"445","Rv0668","rpoC","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"446","Rv3921c","Rv3921c","WhiB1","whiB1","Transcription repressor that is redox responsive, found to be nitric oxide sensitive","Redox"
"447","Rv3290c","lat","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"448","Rv0560c","Rv0560c","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"449","Rv1846c","blaI","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"450","Rv1304","atpB","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"451","Rv2069","sigC","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"452","Rv1456c","Rv1456c","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"453","Rv1622c","cydB","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"454","Rv1620c","cydC","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"455","Rv1621c","cydD","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"456","Rv1303","Rv1303","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"457","Rv1623c","cydA","Blal","blaI","Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function","Antibiotic"
"471","Rv1659","argH","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"472","Rv1656","argF","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"473","Rv1657","argR","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"474","Rv1658","argG","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"475","Rv1654","argB","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"476","Rv2780","ald","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"477","Rv1653","argJ","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"478","Rv1652","argC","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"479","Rv1655","argD","ArgR","argR","Transcription factor that regulates the L-arginine biosynthesis pathways","Amino Acids"
"501","Rv3065","mmr","MbcA+Rv3249c+Rv3066","mbcA and Rv3249c and Rv3066","iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons","Virulence/Persistence"
"502","Rv3066","Rv3066","MbcA+Rv3249c+Rv3066","mbcA and Rv3249c and Rv3066","iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons","Virulence/Persistence"
"503","Rv3064c","Rv3064c","MbcA+Rv3249c+Rv3066","mbcA and Rv3249c and Rv3066","iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons","Virulence/Persistence"
"566","Rv0097","Rv0097","SigC","sigC","Sigma Factor that plays a role in organism virulence and lethality","Virulence/Persistence"
"567","Rv0100","Rv0100","SigC","sigC","Sigma Factor that plays a role in organism virulence and lethality","Virulence/Persistence"
"568","Rv0099","fadD10","SigC","sigC","Sigma Factor that plays a role in organism virulence and lethality","Virulence/Persistence"
"569","Rv0098","fcoT","SigC","sigC","Sigma Factor that plays a role in organism virulence and lethality","Virulence/Persistence"
"570","Rv0096","PPE1","SigC","sigC","Sigma Factor that plays a role in organism virulence and lethality","Virulence/Persistence"
"571","Rv3561","fadD3","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"572","Rv3559c","Rv3559c","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"573","Rv3549c","Rv3549c","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"574","Rv3557c","Rv3557c","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"575","Rv3548c","Rv3548c","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"576","Rv3553","Rv3553","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"577","Rv3560c","fadE30","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"578","Rv3556c","fadA6","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"579","Rv3562","fadE31","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"580","Rv3563","fadE32","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"581","Rv3564","fadE33","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"582","Rv3550","echA20","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"583","Rv3551","Rv3551","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"584","Rv3552","Rv3552","KstR2","kstR2","Transcription factor that regulates a small regulon related to cholesterol utilization","Fatty Acid/Cholesterol"
"605","Rv0085","hycP","LysG","lysG","Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ","Amino Acids"
"606","Rv0081","Rv0081","LysG","lysG","Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ","Amino Acids"
"607","Rv0083","Rv0083","LysG","lysG","Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ","Amino Acids"
"608","Rv0084","hycD","LysG","lysG","Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ","Amino Acids"
"609","Rv0086","hycQ","LysG","lysG","Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ","Amino Acids"
"610","Rv0087","hycE","LysG","lysG","Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ","Amino Acids"
"611","Rv0082","Rv0082","LysG","lysG","Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ","Amino Acids"
"613","Rv1067c","PE_PGRS19","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"614","Rv2490c","PE_PGRS43","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"615","Rv2162c","PE_PGRS38","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"616","Rv1759c","wag22","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"617","Rv0649","fabD2","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"618","Rv2126c","PE_PGRS37","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"619","Rv2352c","PPE38","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"620","Rv2153c","murG","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"621","Rv0746","PE_PGRS9","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"622","Rv0297","PE_PGRS5","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"623","Rv3653","PE_PGRS61","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"624","Rv0532","PE_PGRS6","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"625","Rv0834c","PE_PGRS14","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"626","Rv0747","PE_PGRS10","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"627","Rv1840c","PE_PGRS34","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"628","Rv1818c","PE_PGRS33","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"629","Rv3511","PE_PGRS55","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"630","Rv2526","vapB17","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"631","Rv3590c","PE_PGRS58","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"632","Rv0581","vapB26","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"633","Rv0872c","PE_PGRS15","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"634","Rv2634c","PE_PGRS46","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"635","Rv2541","Rv2541","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"636","Rv1087","PE_PGRS21","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"637","Rv1441c","PE_PGRS26","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"638","Rv0578c","PE_PGRS7","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"639","Rv1452c","PE_PGRS28","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"640","Rv1450c","PE_PGRS27","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"641","Rv3514","PE_PGRS57","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"642","Rv1243c","PE_PGRS23","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"643","Rv3345c","PE_PGRS50","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
"644","Rv3512","PE_PGRS56","SigD","sigD","Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence","Virulence/Persistence"
